entity_id,portfolio_segment,property_type,scenario,quarter,pd_score,risk_grade,expected_loss,model_version,run_date
ENT_001,large_balance,office,baseline,2026Q2,0.0273,C,252369.72,v3.3.0,2026-05-15
ENT_001,large_balance,office,interest_rate_stress,2026Q2,0.0369,C,341115.12,v3.3.0,2026-05-15
ENT_001,large_balance,office,commodity_price_stress,2026Q2,0.0328,C,303213.44,v3.3.0,2026-05-15
ENT_001,large_balance,office,downside_macro,2026Q2,0.0451,C,416918.48,v3.3.0,2026-05-15
ENT_002,mid_market,multifamily,baseline,2026Q2,0.0154,B,40143.69,v3.3.0,2026-05-15
ENT_002,mid_market,multifamily,interest_rate_stress,2026Q2,0.0208,B,54220.05,v3.3.0,2026-05-15
ENT_002,mid_market,multifamily,commodity_price_stress,2026Q2,0.0185,B,48224.56,v3.3.0,2026-05-15
ENT_002,mid_market,multifamily,downside_macro,2026Q2,0.0254,C,66211.02,v3.3.0,2026-05-15
ENT_003,small_balance,multifamily,baseline,2026Q2,0.0466,C,49906.54,v3.3.0,2026-05-15
ENT_003,small_balance,multifamily,interest_rate_stress,2026Q2,0.0629,D,67363.12,v3.3.0,2026-05-15
ENT_003,small_balance,multifamily,commodity_price_stress,2026Q2,0.056,C,59973.53,v3.3.0,2026-05-15
ENT_003,small_balance,multifamily,downside_macro,2026Q2,0.077,D,82463.6,v3.3.0,2026-05-15
ENT_004,small_balance,multifamily,baseline,2026Q2,0.0446,C,57005.34,v3.3.0,2026-05-15
ENT_004,small_balance,multifamily,interest_rate_stress,2026Q2,0.0602,D,76944.43,v3.3.0,2026-05-15
ENT_004,small_balance,multifamily,commodity_price_stress,2026Q2,0.0535,C,68380.85,v3.3.0,2026-05-15
ENT_004,small_balance,multifamily,downside_macro,2026Q2,0.0735,D,93943.79,v3.3.0,2026-05-15
ENT_005,small_balance,industrial,baseline,2026Q2,0.0203,B,42069.63,v3.3.0,2026-05-15
ENT_005,small_balance,industrial,interest_rate_stress,2026Q2,0.0274,C,56783.64,v3.3.0,2026-05-15
ENT_005,small_balance,industrial,commodity_price_stress,2026Q2,0.0243,B,50359.21,v3.3.0,2026-05-15
ENT_005,small_balance,industrial,downside_macro,2026Q2,0.0335,C,69425.26,v3.3.0,2026-05-15
ENT_006,large_balance,industrial,baseline,2026Q2,0.0205,B,462257.79,v3.3.0,2026-05-15
ENT_006,large_balance,industrial,interest_rate_stress,2026Q2,0.0276,C,622356.83,v3.3.0,2026-05-15
ENT_006,large_balance,industrial,commodity_price_stress,2026Q2,0.0245,B,552454.43,v3.3.0,2026-05-15
ENT_006,large_balance,industrial,downside_macro,2026Q2,0.0338,C,762161.63,v3.3.0,2026-05-15
ENT_007,small_balance,retail,baseline,2026Q2,0.098,D,154967.12,v3.3.0,2026-05-15
ENT_007,small_balance,retail,interest_rate_stress,2026Q2,0.1323,E,209205.62,v3.3.0,2026-05-15
ENT_007,small_balance,retail,commodity_price_stress,2026Q2,0.1176,D,185960.55,v3.3.0,2026-05-15
ENT_007,small_balance,retail,downside_macro,2026Q2,0.1617,E,255695.75,v3.3.0,2026-05-15
ENT_008,mid_market,office,baseline,2026Q2,0.0774,D,586629.45,v3.3.0,2026-05-15
ENT_008,mid_market,office,interest_rate_stress,2026Q2,0.1045,D,792025.56,v3.3.0,2026-05-15
ENT_008,mid_market,office,commodity_price_stress,2026Q2,0.0928,D,703349.01,v3.3.0,2026-05-15
ENT_008,mid_market,office,downside_macro,2026Q2,0.1276,E,967104.89,v3.3.0,2026-05-15
ENT_009,large_balance,multifamily,baseline,2026Q2,0.0455,C,1784440.29,v3.3.0,2026-05-15
ENT_009,large_balance,multifamily,interest_rate_stress,2026Q2,0.0614,D,2408013.93,v3.3.0,2026-05-15
ENT_009,large_balance,multifamily,commodity_price_stress,2026Q2,0.0546,C,,v3.3.0,2026-05-15
ENT_009,large_balance,multifamily,downside_macro,2026Q2,0.075,D,2941385.09,v3.3.0,2026-05-15
ENT_010,small_balance,office,baseline,2026Q2,0.0368,C,51836.74,v3.3.0,2026-05-15
ENT_010,small_balance,office,interest_rate_stress,2026Q2,0.0497,C,70007.77,v3.3.0,2026-05-15
ENT_010,small_balance,office,commodity_price_stress,2026Q2,0.0441,C,62119.58,v3.3.0,2026-05-15
ENT_010,small_balance,office,downside_macro,2026Q2,0.0606,D,85361.6,v3.3.0,2026-05-15
ENT_011,mid_market,multifamily,baseline,2026Q2,0.0182,B,113758.42,v3.3.0,2026-05-15
ENT_011,mid_market,multifamily,interest_rate_stress,2026Q2,0.0246,B,153761.39,v3.3.0,2026-05-15
ENT_011,mid_market,multifamily,commodity_price_stress,2026Q2,0.0219,B,136885.14,v3.3.0,2026-05-15
ENT_011,mid_market,multifamily,downside_macro,2026Q2,0.0301,C,188138.94,v3.3.0,2026-05-15
ENT_012,large_balance,office,interest_rate_stress,2026Q2,0.0222,B,209345.95,v3.3.0,2026-05-15
ENT_012,large_balance,office,downside_macro,2026Q2,0.0271,C,255552.94,v3.3.0,2026-05-15
ENT_013,small_balance,retail,baseline,2026Q2,0.0238,B,6898.33,v3.3.0,2026-05-15
ENT_013,small_balance,retail,interest_rate_stress,2026Q2,0.0322,C,9333.03,v3.3.0,2026-05-15
ENT_013,small_balance,retail,commodity_price_stress,2026Q2,0.0287,C,8318.57,v3.3.0,2026-05-15
ENT_013,small_balance,retail,downside_macro,2026Q2,0.0393,C,11390.94,v3.3.0,2026-05-15
ENT_014,large_balance,retail,baseline,2026Q2,0.0287,C,1515957.67,v3.3.0,2026-05-15
ENT_014,large_balance,retail,interest_rate_stress,2026Q2,0.0388,C,2049448.0,v3.3.0,2026-05-15
ENT_014,large_balance,retail,commodity_price_stress,2026Q2,0.0345,C,1822318.46,v3.3.0,2026-05-15
ENT_014,large_balance,retail,downside_macro,2026Q2,0.0474,C,2503707.09,v3.3.0,2026-05-15
ENT_015,mid_market,industrial,baseline,2026Q2,0.027,C,199434.62,v3.3.0,2026-05-15
ENT_015,mid_market,industrial,interest_rate_stress,2026Q2,0.0365,C,269606.06,v3.3.0,2026-05-15
ENT_015,mid_market,industrial,commodity_price_stress,2026Q2,0.0324,C,239321.54,v3.3.0,2026-05-15
ENT_015,mid_market,industrial,downside_macro,2026Q2,0.0445,C,328697.8,v3.3.0,2026-05-15
ENT_016,mid_market,industrial,baseline,2026Q2,0.0543,C,556719.05,v3.3.0,2026-05-15
ENT_016,mid_market,industrial,interest_rate_stress,2026Q2,0.0733,D,751519.46,v3.3.0,2026-05-15
ENT_016,mid_market,industrial,commodity_price_stress,2026Q2,0.0652,D,668472.97,v3.3.0,2026-05-15
ENT_016,mid_market,industrial,downside_macro,2026Q2,1.25,D,,v3.3.0,2026-05-15
ENT_017,mid_market,industrial,baseline,2026Q2,0.124,E,489305.7,v3.3.0,2026-05-15
ENT_017,mid_market,industrial,interest_rate_stress,2026Q2,0.1674,E,660562.7,v3.3.0,2026-05-15
ENT_017,mid_market,industrial,commodity_price_stress,2026Q2,0.1487,E,586772.24,v3.3.0,2026-05-15
ENT_017,mid_market,industrial,downside_macro,2026Q2,0.2045,E,806959.81,v3.3.0,2026-05-15
ENT_018,large_balance,retail,baseline,2026Q2,0.0227,B,378184.77,v3.3.0,2026-05-15
ENT_018,large_balance,retail,interest_rate_stress,2026Q2,0.0307,C,511465.74,v3.3.0,2026-05-15
ENT_018,large_balance,retail,commodity_price_stress,2026Q2,0.0273,C,454821.33,v3.3.0,2026-05-15
ENT_018,large_balance,retail,downside_macro,2026Q2,0.0374,C,623088.56,v3.3.0,2026-05-15
ENT_019,large_balance,office,baseline,2026Q2,0.0843,D,2856680.1,v3.3.0,2026-05-15
ENT_019,large_balance,office,interest_rate_stress,2026Q2,0.1138,D,3856348.7,v3.3.0,2026-05-15
ENT_019,large_balance,office,commodity_price_stress,2026Q2,0.1011,D,3425982.88,v3.3.0,2026-05-15
ENT_019,large_balance,office,downside_macro,2026Q2,0.139,E,4710302.88,v3.3.0,2026-05-15
ENT_020,large_balance,retail,baseline,2026Q2,0.0297,C,923592.47,v3.3.0,2026-05-15
ENT_020,large_balance,retail,interest_rate_stress,2026Q2,0.04,C,1243895.58,v3.3.0,2026-05-15
ENT_020,large_balance,retail,downside_macro,2026Q2,0.049,C,1523772.08,v3.3.0,2026-05-15
ENT_021,small_balance,hospitality,baseline,2026Q2,0.0242,B,30513.36,v3.3.0,2026-05-15
ENT_021,small_balance,hospitality,interest_rate_stress,2026Q2,0.0327,C,41230.86,v3.3.0,2026-05-15
ENT_021,small_balance,hospitality,commodity_price_stress,2026Q2,0.029,C,36565.6,v3.3.0,2026-05-15
ENT_021,small_balance,hospitality,downside_macro,2026Q2,0.04,C,50435.31,v3.3.0,2026-05-15
ENT_022,large_balance,hospitality,baseline,2026Q2,0.0148,B,311422.4,v3.3.0,2026-05-15
ENT_022,large_balance,hospitality,interest_rate_stress,2026Q2,0.0199,B,418736.87,v3.3.0,2026-05-15
ENT_022,large_balance,hospitality,commodity_price_stress,2026Q2,0.0177,B,372444.35,v3.3.0,2026-05-15
ENT_022,large_balance,hospitality,downside_macro,2026Q2,0.0244,B,513426.12,v3.3.0,2026-05-15
